"","QUINCENA","estado","CONFIRMADOS","DEFUNCIONES","HOSPITALIZADOS","CONFIRMADOS_100k","DEFUNCIONES_100k","HOSPITALIZADOS_100k"
"1","2020-01-03","Aguascalientes",0,0,50,0,0,3.48520703872414
"2","2020-01-03","Baja California",0,0,44,0,0,1.21049787777713
"3","2020-01-03","Baja California Sur",0,0,33,0,0,4.10086640122877
"4","2020-01-03","Campeche",0,0,4,0,0,0.399753352181704
"5","2020-01-03","Chiapas",0,0,8,0,0,0.139607114169127
"6","2020-01-03","Chihuahua",0,0,76,0,0,1.99921767455735
"7","2020-01-03","Ciudad de México",0,0,219,0,0,2.42830269957405
"8","2020-01-03","Coahuila de Zaragoza",0,0,56,0,0,1.7398220410598
"9","2020-01-03","Colima",0,0,5,0,0,0.636818556383278
"10","2020-01-03","Durango",0,0,30,0,0,1.60513987188844
"11","2020-01-03","Guanajuato",0,0,41,0,0,0.658298779337446
"12","2020-01-03","Guerrero",0,0,28,0,0,0.765644858913528
"13","2020-01-03","Hidalgo",0,0,60,0,0,1.94400362362275
"14","2020-01-03","Jalisco",0,0,117,0,0,1.39125173772693
"15","2020-01-03","México",0,0,137,0,0,0.78610081943838
"16","2020-01-03","Michoacán de Ocampo",0,0,48,0,0,0.994735981527753
"17","2020-01-03","Morelos",0,0,13,0,0,0.635989781111886
"18","2020-01-03","Nayarit",0,0,17,0,0,1.31929090442048
"19","2020-01-03","Nuevo León",0,0,63,0,0,1.1229640261148
"20","2020-01-03","Oaxaca",0,0,54,0,0,1.30321679759571
"21","2020-01-03","Puebla",0,0,43,0,0,0.651076069759621
"22","2020-01-03","Querétaro",0,0,46,0,0,2.01786512501771
"23","2020-01-03","Quintana Roo",0,0,50,0,0,2.90147911602377
"24","2020-01-03","San Luis Potosí",0,0,63,0,0,2.19807671776206
"25","2020-01-03","Sinaloa",0,0,35,0,0,1.10876194374205
"26","2020-01-03","Sonora",0,0,38,0,0,1.23587484490584
"27","2020-01-03","Tabasco",0,0,11,0,0,0.42763501895395
"28","2020-01-03","Tamaulipas",0,0,22,0,0,0.60264033164941
"29","2020-01-03","Tlaxcala",0,0,37,0,0,2.68113804889961
"30","2020-01-03","Veracruz de Ignacio de la Llave",0,0,83,0,0,0.971912660883747
"31","2020-01-03","Yucatán",0,0,5,0,0,0.221327273097493
"32","2020-01-03","Zacatecas",0,0,34,0,0,2.04029461854292
"33","2020-01-17","Aguascalientes",0,0,66,0,0,4.60047329111586
"34","2020-01-17","Baja California",0,0,64,0,0,1.76072418585764
"35","2020-01-17","Baja California Sur",0,0,46,0,0,5.71635922595525
"36","2020-01-17","Campeche",0,0,5,0,0,0.49969169022713
"37","2020-01-17","Chiapas",0,0,22,0,0,0.3839195639651
"38","2020-01-17","Chihuahua",0,0,91,0,0,2.39380011032525
"39","2020-01-17","Ciudad de México",0,0,215,0,0,2.38395013885124
"40","2020-01-17","Coahuila de Zaragoza",0,0,83,0,0,2.57866481085649
"41","2020-01-17","Colima",0,0,5,0,0,0.636818556383278
"42","2020-01-17","Durango",0,0,57,0,0,3.04976575658803
"43","2020-01-17","Guanajuato",0,0,51,0,0,0.818859457224628
"44","2020-01-17","Guerrero",0,0,41,0,0,1.12112282912338
"45","2020-01-17","Hidalgo",0,0,89,0,0,2.88360537504042
"46","2020-01-17","Jalisco",0,0,231,0,0,2.74683035397368
"47","2020-01-17","México",0,0,156,0,0,0.89512210096633
"48","2020-01-17","Michoacán de Ocampo",0,0,86,0,0,1.78223530023722
"49","2020-01-17","Morelos",0,0,26,0,0,1.27197956222377
"50","2020-01-17","Nayarit",0,0,12,0,0,0.93126416782622
"51","2020-01-17","Nuevo León",1,0,131,0.017824825811346,0,2.33505218128632
"52","2020-01-17","Oaxaca",0,0,51,0,0,1.23081586439595
"53","2020-01-17","Puebla",0,0,57,0,0,0.863054325030196
"54","2020-01-17","Querétaro",0,0,113,0,0,4.95692954623916
"55","2020-01-17","Quintana Roo",0,0,46,0,0,2.66936078674187
"56","2020-01-17","San Luis Potosí",0,0,137,0,0,4.77994460846671
"57","2020-01-17","Sinaloa",0,0,45,0,0,1.4255510705255
"58","2020-01-17","Sonora",0,0,71,0,0,2.30913457863985
"59","2020-01-17","Tabasco",0,0,25,0,0,0.971897770349887
"60","2020-01-17","Tamaulipas",0,0,51,0,0,1.39702985973272
"61","2020-01-17","Tlaxcala",0,0,35,0,0,2.53621166787801
"62","2020-01-17","Veracruz de Ignacio de la Llave",0,0,100,0,0,1.17097910949849
"63","2020-01-17","Yucatán",0,0,12,0,0,0.531185455433983
"64","2020-01-17","Zacatecas",0,0,51,0,0,3.06044192781438
"65","2020-01-31","Aguascalientes",0,0,62,0,0,4.32165672801793
"66","2020-01-31","Baja California",0,0,50,0,0,1.37556577020128
"67","2020-01-31","Baja California Sur",0,0,72,0,0,8.94734487540822
"68","2020-01-31","Campeche",0,0,4,0,0,0.399753352181704
"69","2020-01-31","Chiapas",0,0,15,0,0,0.261763339067114
"70","2020-01-31","Chihuahua",0,0,89,0,0,2.34118911888953
"71","2020-01-31","Ciudad de México",0,0,173,0,0,1.91824825126169
"72","2020-01-31","Coahuila de Zaragoza",0,0,85,0,0,2.64080131232291
"73","2020-01-31","Colima",0,0,12,0,0,1.52836453531987
"74","2020-01-31","Durango",0,0,55,0,0,2.94275643179547
"75","2020-01-31","Guanajuato",0,0,66,0,0,1.0597004740554
